,A4,A35,A58,A63,A89,A94,A36,A42,A47,A59,A75,A98,A40,A51,A57,A2,A28,A85,A95,A7,A12,A13,A31,A50,A53,A96,A22,A44,A46,A64,A99,A17,A21,A41,A72,A88,A92,A15,A16,A23,A70,A8,A20,A49,A71,A78,A87,A100,A55,A62,A68,A5,A24,A27,A48,A74,A77,A82
A4,0.000000,0.585446,0.384594,0.349388,0.261300,0.209719,0.551930,0.491318,0.784019,0.186504,0.284766,0.506495,0.450082,0.523662,0.619414,0.579449,0.364752,0.479536,0.430318,0.767739,0.683782,0.863610,0.641918,0.714892,0.584049,0.660258,0.440829,0.723907,0.754007,0.693072,0.782824,0.683507,0.713716,0.636953,0.647114,0.411482,0.489384,0.351504,0.521932,0.379206,0.206155,0.520437,0.915506,0.827082,0.882156,0.675509,0.880892,0.568692,0.651469,0.727567,0.849218,0.835772,0.750880,0.876980,0.811137,0.658665,0.578889,0.775862
A35,0.585446,0.000000,0.223980,0.414791,0.745327,0.577633,0.497460,0.561542,0.739003,0.527354,0.628860,0.451392,0.544485,0.582447,0.477714,0.712752,0.454469,0.394218,0.370288,0.720056,0.698325,0.806374,0.797747,0.624435,0.751161,0.782649,0.861516,0.334483,0.824784,0.601551,0.791389,0.634441,0.627228,0.665774,0.747995,0.776709,0.726455,0.771470,0.745027,0.678629,0.533454,0.540088,0.725153,0.771361,0.770098,0.693895,0.335725,0.666831,0.531539,0.476473,0.287766,0.710838,0.446220,0.345982,0.802516,0.595477,0.446118,0.275600
A58,0.384594,0.223980,0.000000,0.401351,0.613121,0.602601,0.612611,0.381470,0.573600,0.252619,0.532927,0.386348,0.357623,0.277531,0.455731,0.438292,0.617076,0.458093,0.463708,0.574998,0.250505,0.844896,0.690623,0.306224,0.849832,0.799344,0.896634,0.692430,0.806788,0.532546,0.820225,0.622880,0.792801,0.486565,0.608175,0.563412,0.569902,0.659880,0.679998,0.662394,0.531446,0.480683,0.894949,0.621173,0.761101,0.379907,0.774553,0.506416,0.721203,0.609989,0.911978,0.751864,0.657827,0.744606,0.687460,0.714478,0.737151,0.610313
A63,0.349388,0.414791,0.401351,0.000000,0.508638,0.223196,0.560383,0.325456,0.518143,0.308238,0.260268,0.282342,0.396866,0.606683,0.366396,0.877845,0.234099,0.295643,0.450076,0.574435,0.744488,0.761493,0.863312,0.641281,0.339394,0.878918,0.695880,0.677094,0.891163,0.572253,0.405687,0.690274,0.600460,0.656276,0.778496,0.732653,0.507576,0.455374,0.553118,0.874277,0.451550,0.654861,0.781075,0.790397,0.749712,0.573248,0.559745,0.693634,0.737403,0.667329,0.748427,0.645082,0.888624,0.740284,0.736524,0.553121,0.742616,0.730819
A89,0.261300,0.745327,0.613121,0.508638,0.000000,0.261227,0.599213,0.447352,0.526023,0.213659,0.210579,0.383305,0.492678,0.477701,0.509998,1.000000,0.647999,0.453789,0.562417,0.497557,0.528522,0.502888,0.866133,0.671740,0.712958,0.678423,0.540601,0.286655,0.966249,0.319377,0.357197,0.539617,0.678592,0.800435,0.614487,0.864985,0.378085,0.614527,0.565595,0.649750,0.547919,0.625040,0.839338,0.600459,0.728686,0.631887,0.565479,0.823172,0.544173,0.768867,0.785498,0.473166,0.714256,0.880055,0.801970,0.586297,0.809467,0.436432
A94,0.209719,0.577633,0.602601,0.223196,0.261227,0.000000,0.624040,0.748737,0.690106,0.440344,0.443683,0.112017,0.507538,0.465467,0.542101,0.782166,0.512271,0.658935,0.303474,0.520536,0.872655,0.876929,0.717003,0.573083,0.772271,0.567870,0.864368,0.639837,0.900721,0.761823,0.770376,0.716167,0.550133,0.695657,0.680620,0.537937,0.650870,0.685953,0.688941,0.531668,0.742992,0.738044,0.721265,0.674524,0.910247,0.703065,0.548226,0.609374,0.450003,0.651997,0.811823,0.664074,0.592906,0.628849,0.705099,0.723686,0.707416,0.782909
A36,0.551930,0.497460,0.612611,0.560383,0.599213,0.624040,0.000000,0.180430,0.619626,0.605401,0.429920,0.279479,0.327427,0.344045,0.843791,0.538120,0.487625,0.472467,0.518401,0.519562,0.671317,0.802529,0.531755,0.659214,0.853084,0.670178,0.788728,0.721104,0.876277,0.582222,0.630809,0.947337,0.692770,0.699709,0.614939,0.660939,0.840158,0.718259,0.628535,0.724963,0.776709,0.679967,0.709409,0.734796,0.531411,0.505758,0.710840,0.845043,0.851608,0.752178,0.799503,0.821832,0.813498,0.786294,0.754560,0.461259,0.756820,0.709098
A42,0.491318,0.561542,0.381470,0.325456,0.447352,0.748737,0.180430,0.000000,0.150803,0.706600,0.457398,0.727679,0.420686,0.553531,0.688181,0.323072,0.619025,0.533143,0.652439,0.923193,0.852618,0.837945,0.756418,0.527568,0.874658,0.782625,0.740554,0.630870,0.855694,0.410656,0.684617,0.676597,0.960910,0.751605,0.650174,0.785949,0.631931,0.624119,0.585101,0.892108,0.497732,0.836673,0.714244,0.919577,0.686889,0.490814,0.834375,0.864170,0.704567,0.752421,0.787315,0.691196,0.771344,0.769527,0.801522,0.885073,0.735176,0.709448
A47,0.784019,0.739003,0.573600,0.518143,0.526023,0.690106,0.619626,0.150803,0.000000,0.534764,0.504465,0.619119,0.507971,0.375902,0.511061,0.386437,0.561727,0.630321,0.574383,0.868976,0.928949,0.509168,0.606169,0.867907,0.717094,0.748757,0.842762,0.797716,0.790661,0.724411,0.728800,0.646716,0.948837,0.553650,0.661127,0.727866,0.687168,0.629125,0.552784,0.734192,0.883563,0.912713,0.719582,0.675208,0.692826,0.646990,0.681054,0.665974,0.796211,0.663359,0.759780,0.886623,0.862690,0.581057,0.579163,0.849487,0.721337,0.875010
A59,0.186504,0.527354,0.252619,0.308238,0.213659,0.440344,0.605401,0.706600,0.534764,0.000000,0.374548,0.223285,0.562310,0.675778,0.570066,0.494169,0.437819,0.591305,0.341864,0.776793,0.757642,0.811620,0.713126,0.838629,0.816347,0.613633,0.527040,0.886841,0.881748,0.773863,0.734384,0.725797,0.830574,0.696547,0.705112,0.538405,0.716605,0.485013,0.687017,0.550980,0.543994,0.813212,0.862924,0.705816,0.848178,0.588558,0.741985,0.767799,0.615798,0.521442,0.774905,0.697378,0.763450,0.894427,0.961036,0.594076,0.578065,0.616553
A75,0.284766,0.628860,0.532927,0.260268,0.210579,0.443683,0.429920,0.457398,0.504465,0.374548,0.000000,0.270298,0.610612,0.555424,0.841624,0.605873,0.502660,0.534463,0.440949,0.381708,0.806719,0.821976,0.742544,0.578863,0.817485,0.790920,0.684484,0.688465,0.844537,0.813903,0.643157,0.654911,0.803901,0.708114,0.654747,0.691582,0.588749,0.784311,0.773943,0.841779,0.791238,0.694192,0.845648,0.748982,0.859936,0.684142,0.697638,0.584002,0.594363,0.598773,0.753843,0.668878,0.584213,0.705969,0.971340,0.760606,0.669894,0.735743
A98,0.506495,0.451392,0.386348,0.282342,0.383305,0.112017,0.279479,0.727679,0.619119,0.223285,0.270298,0.000000,0.454191,0.460079,0.392381,0.519570,0.387716,0.348262,0.526929,0.568951,0.842095,0.875186,0.857607,0.637229,0.859752,0.703685,0.619658,0.590388,0.764959,0.572188,0.734652,0.588959,0.642520,0.558280,0.659691,0.597593,0.641264,0.660963,0.603219,0.736430,0.698033,0.600601,0.904934,0.838101,0.974531,0.672960,0.676394,0.751777,0.666052,0.705280,0.701983,0.628647,0.795098,0.507435,0.636569,0.718575,0.605346,0.742940
A40,0.450082,0.544485,0.357623,0.396866,0.492678,0.507538,0.327427,0.420686,0.507971,0.562310,0.610612,0.454191,0.000000,0.142299,0.206834,0.422716,0.425295,0.230270,0.454344,0.422302,0.766329,0.802699,0.815923,0.602210,0.902153,0.752846,0.741198,0.639755,0.902523,0.766093,0.524722,0.740296,0.611092,0.644102,0.655740,0.482109,0.576498,0.775013,0.908775,0.532648,0.507429,0.733759,0.852747,0.605641,0.607809,0.434489,0.405813,0.808458,0.702663,0.776688,0.826756,0.710741,0.643532,0.911413,0.956670,0.814935,0.734445,0.870310
A51,0.523662,0.582447,0.277531,0.606683,0.477701,0.465467,0.344045,0.553531,0.375902,0.675778,0.555424,0.460079,0.142299,0.000000,0.200928,0.683749,0.322446,0.179228,0.416487,0.908263,0.878558,0.855328,0.800825,0.833158,0.559630,0.775011,0.759428,0.548921,0.904096,0.774479,0.511743,0.691267,0.620038,0.745465,0.692778,0.542531,0.600586,0.614529,0.571089,0.703391,0.555446,0.858847,0.834263,0.603507,0.909963,0.627820,0.712311,0.702839,0.882227,0.851413,0.609864,0.731890,0.737726,0.807341,0.896540,0.755329,0.721198,0.778393
